Facility_Name,Type,Street_Address,City,Zip,County,State,Facility Location,Latitude,Longitude
"Stamford Hospital, The",Acute Care Hospital,One Hospital Plaza,Stamford,6904,Fairfield,CT,"(41.0550, -73.5522)",41.055,-73.5522
John Dempsey Hospital,Acute Care Hospital,263 Farmington Avenue,Farmington,6030,Hartford,CT,"(41.73509, -72.79582)",41.73509,-72.79582
St. Vincent's Medical Center,Acute Care Hospital,2800 Main Street,Bridgeport,6606,Fairfield,CT,"(41.200083, -73.202486)",41.200083,-73.202486
Manchester Memorial Hospital,Acute Care Hospital,71 Haynes Street,Manchester,6040,Hartford,CT,"(41.781087, -72.525221)",41.781087,-72.525221
"Saint Mary's Hospital, Inc.",Acute Care Hospital,56 Franklin Street,Waterbury,6706,New Haven,CT,"(41.552251, -73.036041)",41.552251,-73.036041
Lawrence and Memorial Hospital,Acute Care Hospital,365 Montauk Avenue,New London,6320,New London,CT,"(41.336428, -72.103074)",41.336428,-72.103074
"Bristol Hospital, Inc.",Acute Care Hospital,41 Brewster Road,Bristol,6010,Hartford,CT,"(41.676078, -72.934878)",41.676078,-72.934878
"William W. Backus Hospital, The",Acute Care Hospital,326 Washington Street,Norwich,6360,New London,CT,"(41.543402, -72.086747)",41.543402,-72.086747
Bridgeport Hospital,Acute Care Hospital,267 Grant Street,Bridgeport,6610,Fairfield,CT,"(41.188776, -73.16608)",41.188776,-73.16608
Griffin Hospital,Acute Care Hospital,130 Division Street,Derby,6418,New Haven,CT,"(41.335978, -73.088689)",41.335978,-73.088689
Greenwich Hospital,Acute Care Hospital,5 Perryridge Road,Greenwich,6830,Fairfield,CT,"(41.034395, -73.629632)",41.034395,-73.629632
Sharon Hospital,Acute Care Hospital,50 Hospital Hill Rd,Sharon,6069,Litchfield,CT,"(41.879662, -73.481572)",41.879662,-73.481572
"Danbury Hospital, The",Acute Care Hospital,24 Hospital Avenue,Danbury,6810,,CT,"(41.406776, -73.444339)",41.406776,-73.444339
Johnson Memorial Hospital,Acute Care Hospital,201 Chestnut Hill Road,Stafford Springs,6076,Tolland,CT,"(41.977367, -72.389971)",41.977367,-72.389971
Connecticut Children's Medical Center,Acute Care Hospital,282 Washington Street,Hartford,6106,Hartford,CT,"(41.753482, -72.682812)",41.753482,-72.682812
"Charlotte Hungerford Hospital, The",Acute Care Hospital,540 Litchfield Street,Torrington,6790,Litchfield,CT,"(41.790864, -73.133308)",41.790864,-73.133308
Hartford Hospital,Acute Care Hospital,80 Seymour Street,Hartford,6102,Hartford,CT,"(41.754123, -72.68082)",41.754123,-72.68082
"Yale New Haven Hospital, Inc.",Acute Care Hospital,20 York Street,New Haven,6510,New Haven,CT,"(41.304285, -72.934689)",41.304285,-72.934689
Middlesex Hospital,Acute Care Hospital,28 Crescent Street,Middletown,6457,Middlesex,CT,"(41.554865, -72.647633)",41.554865,-72.647633
Norwalk Hospital,Acute Care Hospital,34 Maple Street,Norwalk,6856,Fairfield,CT,"(41.112666, -73.421921)",41.112666,-73.421921
Saint Francis Hospital and Medical Center,Acute Care Hospital,114 Woodland Street,Hartford,6105,Hartford,CT,"(41.77508, -72.699468)",41.77508,-72.699468
Rockville General Hospital,Acute Care Hospital,31 Union Street,Vernon,6066,Tolland,CT,"(41.86696, -72.451043)",41.86696,-72.451043
