FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ADDRESS,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,LAT,LNG,FULL_ADDR
NJ1505,"Hospital-Based, Off-Site Ambulatory Care Facility",1505,234 Building,234 Hamburg Turnpike,Wayne,NJ,7470,"WAYNE, NJ  07470",Passaic,40.9497027,-74.208403,"234 Hamburg Turnpike, Wayne, NJ, US"
NJ23345,Ambulatory Care Facility,23345,60Th Street Mri,6001 Monroe Place,West New York,NJ,7093,"WEST NEW YORK, NJ  07093",Hudson,40.787586,-74.01336,"6001 Monroe Place, West New York, NJ, US"
NJ24672,Ambulatory Care Facility,24672,"95 Madison Imaging Center At Morristown, Pc",95 Madison Avenue,Morristown,NJ,7960,"MORRISTOWN, NJ  07960",Morris,40.788125,-74.4664427,"95 Madison Avenue, Morristown, NJ, US"
NJ22911,Ambulatory Care Facility,22911,"A. P. Diagnostic Imaging, Inc.","1692 Oak Tree Road, Suite 25",Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.5757417,-74.3759415,"1692 Oak Tree Road, Suite 25, Edison, NJ, US"
NJ24104,Hospice Care Program,24104,Acacia Hospice,902 Jacksonville Road,Burlington,NJ,8016,"BURLINGTON, NJ  08016",Burlington,40.0618486,-74.8268173,"902 Jacksonville Road, Burlington, NJ, US"
NJ24265,Ambulatory Surgical Center,24265,Accelerated Surgical Center Of North Jersey Llc,"680 Broadway, Suite 203",Paterson,NJ,7514,"PATERSON, NJ  07514",Passaic,40.9176984,-74.1439653,"680 Broadway, Suite 203, Paterson, NJ, US"
NJ31C0001083,Ambulatory Surgical Center,22935,Access,"3205 Fire Road, Suite 3",Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.3850925,-74.5710095,"3205 Fire Road, Suite 3, Egg Harbor Township, NJ, US"
NJ24714R,Ambulatory Surgical Center,R24714,Access Care Physicians Of Nj L.L.C.,"1050 Galloping Hill Road, Suite 101",Union,NJ,7083,"UNION, NJ  07083",Union,40.6755156,-74.2652847,"1050 Galloping Hill Road, Suite 101, Union, NJ, US"
NJ24374A,Special Hospital,24374,Acuity Specialty Hospital Of New Jersey,1925 Pacific Avenue 5Th Floor,Atlantic City,NJ,8401,"ATLANTIC CITY, NJ  08401",Atlantic,39.357988,-74.433578,"1925 Pacific Avenue 5Th Floor, Atlantic City, NJ, US"
NJ23471A,Special Hospital,23471,Acuity Specialty Hospital Of Southern New Jersey,218 Sunset Road,Willingboro,NJ,8046,"WILLINGBORO, NJ  08046",Burlington,40.0461623,-74.8799556,"218 Sunset Road, Willingboro, NJ, US"
NJ22548,Ambulatory Care Facility,22548,"Advanced Diagnostic Imaging Of New Jersey, Inc",34 Route 17 North,Paramus,NJ,7652,"PARAMUS, NJ  07652",Bergen,40.917622,-74.072537,"34 Route 17 North, Paramus, NJ, US"
NJ23487,Ambulatory Care Facility,23487,Advanced Diagnostics Of New Jersey,701 Route 38 East,Cherry Hill,NJ,8002,"CHERRY HILL, NJ  08002",Camden,39.936486,-75.045298,"701 Route 38 East, Cherry Hill, NJ, US"
NJ31C0001154,Ambulatory Surgical Center,24268,Advanced Endoscopy And Surgical Center,"142 Route 35, Suite 101",Eatontown,NJ,7724,"EATONTOWN, NJ  07724",Monmouth,40.305601,-74.060668,"142 Route 35, Suite 101, Eatontown, NJ, US"
NJ22788,Ambulatory Care Facility,22788,"Advanced Magnetic Imaging Associates, P.A.",6410-6416 Bergenline Avenue,West New York,NJ,7093,"WEST NEW YORK, NJ  07093",Hudson,40.7924953,-74.0134776,"6410-6416 Bergenline Avenue, West New York, NJ, US"
NJ24090,Ambulatory Care Facility,24090,Advanced Medical  Imaging Of Toms River,1430 Hooper Avenue,Toms River,NJ,8753,"TOMS RIVER, NJ  08753",Ocean,39.99738,-74.168495,"1430 Hooper Avenue, Toms River, NJ, US"
