Facility ID,Facility Name,Description,Facility Address 1,Facility City,Facility State,Facility Zip Code,Facility County,Facility Latitude,Facility Longitude,Facility Location,Full Address
204,Hospice at Lourdes,Hospice,4102 Old Vestal Road,Vestal,New York,13850,Broome,42.097095,-75.975243,"(42.097095, -75.975243)","4102 Old Vestal Road, Vestal, NY, US"
620,Charles T Sitrin Health Care Center Inc,Residential Health Care Facility - SNF,2050 Tilden Avenue,New Hartford,New York,13413,Oneida,43.054970000000004,-75.22882800000001,"(43.054970000000004, -75.22882800000001)","2050 Tilden Avenue, New Hartford, NY, US"
654,Central Park Rehabilitation and Nursing Center,Residential Health Care Facility - SNF,116 Martin Luther King East,Syracuse,New York,13205,Onondaga,43.0330622,-76.1483928,"(43.0330622, -76.1483928)","116 Martin Luther King East, Syracuse, NY, US"
1156,East Side Nursing Home,Residential Health Care Facility - SNF,62 Prospect St,Warsaw,New York,14569,Wyoming,42.738979,-78.12867,"(42.738979, -78.12867)","62 Prospect St, Warsaw, NY, US"
2589,Wellsville Manor Care Center,Residential Health Care Facility - SNF,4192A Bolivar Road,Wellsville,New York,14895,Allegany,42.126461,-77.967834,"(42.126461, -77.967834)","4192A Bolivar Road, Wellsville, NY, US"
3455,"Harris Hill Nursing Facility, LLC",Residential Health Care Facility - SNF,2699 Wehrle Drive,Williamsville,New York,14221,Erie,42.956268,-78.68856,"(42.956268, -78.68856)","2699 Wehrle Drive, Williamsville, NY, US"
3853,Garden City Surgi Center,Diagnostic and Treatment Center,400 Endo Blvd,Garden City,New York,11530,Nassau,40.733765000000005,-73.591286,"(40.733765000000005, -73.591286)","400 Endo Blvd, Garden City, NY, US"
4249,Willcare,Certified Home Health Agency,346 Delaware Avenue,Buffalo,New York,14202,Erie,42.893864,-78.875824,"(42.893864, -78.875824)","346 Delaware Avenue, Buffalo, NY, US"
4473,Good Shepherd Hospice,Hospice,"110 Bi-County Boulevard, Suite 114",Farmingdale,New York,11735,Nassau,40.725994,-73.428329,"(40.725994, -73.428329)","110 Bi-County Boulevard, Suite 114, Farmingdale, NY, US"
6230,NYU Langone Rutherford,Hospital Extension Clinic,305 Second Ave,New York,New York,10003,New York,40.734818,-73.983231,"(40.734818, -73.983231)","305 Second Ave, New York, NY, US"
6482,"Endoscopy Center of Long Island, LLC",Diagnostic and Treatment Center,711 Stewart Avenue,Garden City,New York,11530,Nassau,40.732571,-73.60797099999999,"(40.732571, -73.60797099999999)","711 Stewart Avenue, Garden City, NY, US"
6832,Gorman Imaging Center,Hospital Extension Clinic,139 Fields Drive,Oneida,New York,13421,Madison,43.07695,-75.65351899999999,"(43.07695, -75.65351899999999)","139 Fields Drive, Oneida, NY, US"
7257,Park Ridge Family Health Center,Hospital Extension Clinic,6317 4th Avenue,Brooklyn,New York,11220,Kings,40.638981,-74.020172,"(40.638981, -74.020172)","6317 4th Avenue, Brooklyn, NY, US"
7564,St. Mary's Health Center,Hospital Extension Clinic,446A Guy Park Avenue,Amsterdam,New York,12010,Montgomery,42.954033,-74.2174,"(42.954033, -74.2174)","446A Guy Park Avenue, Amsterdam, NY, US"
7751,Gladys Brooks Sports Rehab Center,Hospital Extension Clinic,46520 North Road,Southold,New York,11971,Suffolk,41.073665999999996,-72.427689,"(41.073665999999996, -72.427689)","46520 North Road, Southold, NY, US"
7885,"Community Health Center of Buffalo, Inc",Diagnostic and Treatment Center,34 Benwood Avenue,Buffalo,New York,14214,Erie,42.941837,-78.83438100000001,"(42.941837, -78.83438100000001)","34 Benwood Avenue, Buffalo, NY, US"
9006,"FedCare, Inc.",Diagnostic and Treatment Center,344 West 51 Street,New York,New York,10019,New York,40.76363,-73.98748,"(40.76363, -73.98748)","344 West 51 Street, New York, NY, US"
9170,Liberty Hudson Valley Dialysis,Diagnostic and Treatment Center,19 Laurel Avenue,Cornwall,New York,12518,Orange,41.435483000000005,-74.042484,"(41.435483000000005, -74.042484)","19 Laurel Avenue, Cornwall, NY, US"
9215,Tupper Lake Health Center,Hospital Extension Clinic,7 Stetson Road,Tupper Lake,New York,12986,Franklin,44.216590999999994,-74.462013,"(44.216590999999994, -74.462013)","7 Stetson Road, Tupper Lake, NY, US"
9263,Griffiss Surgery Center,Diagnostic and Treatment Center,105 Dart Circle,Rome,New York,13441,Oneida,43.209602000000004,-75.413391,"(43.209602000000004, -75.413391)","105 Dart Circle, Rome, NY, US"
9344,Holiday Park Health Center,Hospital Extension Clinic,2666 West State Street,Olean,New York,14760,Cattaraugus,42.077095,-78.46012900000001,"(42.077095, -78.46012900000001)","2666 West State Street, Olean, NY, US"
9418,Strong Brockport Clinic,Hospital Extension Clinic,80 West Avenue,Brockport,New York,14420,Monroe,43.220141999999996,-77.94099399999999,"(43.220141999999996, -77.94099399999999)","80 West Avenue, Brockport, NY, US"
9588,H.K. Freedman Renal Center,Diagnostic and Treatment Center,91 Plaza Boulevard,Plattsburgh,New York,12901,Clinton,44.702244,-73.496895,"(44.702244, -73.496895)","91 Plaza Boulevard, Plattsburgh, NY, US"
9924,IDCC Health Services,Diagnostic and Treatment Center,201 Kings Highway,Brooklyn,New York,11223,Kings,40.605635,-73.983806,"(40.605635, -73.983806)","201 Kings Highway, Brooklyn, NY, US"
9942,Lasante Health Center,Diagnostic and Treatment Center,672 Parkside Avenue,Brooklyn,New York,11226,Kings,40.655961,-73.950775,"(40.655961, -73.950775)","672 Parkside Avenue, Brooklyn, NY, US"
9959,Newtown High School,School Based Diagnostic and Treatment Center Extension Clinic,48-01 90th St. - 3rd fl. Room 368,Elmhurst,New York,11373,Cayuga,40.741288,-73.87479599999999,"(40.741288, -73.874796)","48-01 90th St. - 3rd fl. Room 368, Elmhurst, NY, US"
10149,Fannie Lou Hamer,School Based Diagnostic and Treatment Center Extension Clinic,1001 Jennings Street,Bronx,New York,10060,Kings,40.8312159,-73.8867249,"(40.8312159, -73.8867249)","1001 Jennings Street, Bronx, NY, US"
10345,The Wellness Center at Oak Orchard,Diagnostic and Treatment Center Extension Clinic,317 West Avenue,Albion,New York,14411,Orleans,43.2409511,-78.1966971,"(43.2409511, -78.1966971)","317 West Avenue, Albion, NY, US"
6772,WMY Seal a Smile Program,School Based Diagnostic and Treatment Center Extension Clinic,Lark and Arbor Drives,Albany,New York,12207,Albany,42.661339,-73.748909,"(42.661339, -73.748909)","Lark and Arbor Drives, Albany, NY, US"
