FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,LIC_EXPIRES,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,ADMIN,TITLE,RunDate,HospBedTotal
NJ1505,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1505,234 BUILDING,234 BUILDING,234 HAMBURG TURNPIKE, ,WAYNE,NJ,07470,"WAYNE, NJ  07470",PASSAIC,(973) 754-2002,(973) 754-2009,,10/31/2020,ST. JOSEPH'S REGIONAL MEDICAL CENTER,703 MAIN STREET,"PATERSON, NJ  07503",,Mr. KEVIN SLAVIN,,6/17/2020,
NJ23345,AMBULATORY CARE FACILITY,23345,60TH STREET MRI,60TH STREET MRI,6001 MONROE PLACE, ,WEST NEW YORK,NJ,07093,"WEST NEW YORK, NJ  07093",HUDSON,(201) 854-1200,(201) 854-3333,NORTHJERSEYIMAGING@GMAIL.COM,6/30/2021,"RICARDO T. BALDONADO, M.D.",307-60TH STREET,"WEST NEW YORK, NJ  07093",,Dr. RICARDO BALDONADO,DIRECTOR,6/17/2020,
NJ24672,AMBULATORY CARE FACILITY,24672,"95 MADISON IMAGING CENTER AT MORRISTOWN, PC","95 MADISON IMAGING CENTER AT MORRISTOWN, PC",95 MADISON AVENUE, ,MORRISTOWN,NJ,07960,"MORRISTOWN, NJ  07960",MORRIS,(201) 262-2200,(201) 262-1553,,9/30/2020,95 MADISON IMAGING CENTER AT MORRISTOWN PC,95 MADISON AVENUE,"MORRISTOWN, NJ  07960",Profit - Corporation,Ms. DENISE LUBRANO,,6/17/2020,
NJ22911,AMBULATORY CARE FACILITY,22911,"A. P. DIAGNOSTIC IMAGING, INC.","A P DIAGNOSTIC IMAGING, INC","1692 OAK TREE ROAD, SUITE 25", ,EDISON,NJ,08820,"EDISON, NJ  08820",MIDDLESEX,(732) 635-9729,(732) 906-7801,harshadpatel1@msn.com,8/31/2020,A P DIAGNOSTIC IMAGING,1692 OAK TREE ROAD,"EDISON, NJ  08820",,Dr. STEVE LOSIK,,6/17/2020,
NJ24104,HOSPICE CARE PROGRAM,24104,ACACIA HOSPICE,ACACIA HOSPICE,902 JACKSONVILLE ROAD, ,BURLINGTON,NJ,08016,"BURLINGTON, NJ  08016",BURLINGTON,(609) 589-4444,(609) 589-4034,dan@njmasonic.org,5/31/2021,MASONIC CHARITY FOUNDATION OF NJ,902 JACKSONVILLE ROAD,"BURLINGTON, NJ  08016",NonProfit - Corporation,"Mr. ROBERT SPOSATO, MBA, MSN, RN",,6/17/2020,
NJ24265,AMBULATORY SURGICAL CENTER,24265,ACCELERATED SURGICAL CENTER OF NORTH JERSEY LLC,ACCELERATED SURGICAL CENTER OF NORTH JERSEY LLC,"680 BROADWAY, SUITE 203", ,PATERSON,NJ,07514,"PATERSON, NJ  07514",PASSAIC,(973) 225-0732,(973) 968-6660,SAMRAHAT@GMAIL.COM,7/31/2020,ACCELERATED SURGICAL CENTER OF NORTH JERSEY LLC,"680 BROADWAY, SUITE 204","PATERSON, NJ  07514",,Mr. SAM RAHAT,,6/17/2020,
NJ31C0001083,AMBULATORY SURGICAL CENTER,22935,ACCESS,ACCESS,"3205 FIRE ROAD, SUITE 3", ,EGG HARBOR TOWNSHIP,NJ,08234,"EGG HARBOR TOWNSHIP, NJ  08234",ATLANTIC,(609) 407-1113,(609) 407-0330,jmadden@acesssurgi.com,7/31/2020,"ATLANTIC GASTRO SURGICENTER, L.L.C.","3205 FIRE ROAD, SUITE 3","EGG HARBOR TOWNSHIP, NJ  08234",Profit - LLC,Dr. BARRY KAUFMAN,,6/17/2020,
NJ24714R,AMBULATORY SURGICAL CENTER,R24714,ACCESS CARE PHYSICIANS OF NJ L.L.C.,ACCESS CARE PHYSICIANS OF NJ LLC,"1050 GALLOPING HILL ROAD, SUITE 101", ,UNION,NJ,07083,"UNION, NJ  07083",UNION,(908) 686-0123,(908) 686-0014,ilana.horowitz@azuracare.com,11/30/2020,"ACCESS CARE PHYSICIANS OF NJ, L.L.C.","2401 MORRIS AVENUE, SUITE W-112","UNION, NJ  07083",Profit - LLC,. ILANA HOROWITZ,,6/17/2020,
NJ24374A,SPECIAL HOSPITAL,24374,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,1925 PACIFIC AVENUE 5TH FLOOR, ,ATLANTIC CITY,NJ,08401,"ATLANTIC CITY, NJ  08401",ATLANTIC,(609) 441-2122,(609) 441-2169,admilgrim@acuityhealthcare.net,11/30/2020,"ACUITY HEALTHCARE, L.P.","10735 DAVID TAYLOR DR, SUITE 200","CHARLOTTE, NC  28262",Profit - Corporation,Ms. KATHLEEN KERSTETTER,,6/17/2020,30
NJ23471A,SPECIAL HOSPITAL,23471,ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,ACUITY SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,218 SUNSET ROAD, ,WILLINGBORO,NJ,08046,"WILLINGBORO, NJ  08046",BURLINGTON,(609) 432-3034,(609) 835-5784,garneson@acuityhealthcare.net,10/31/2020,LOURDES SPECIALTY HOSPITAL OF SOUTHERN NEW JERSEY,218 SUNSET ROAD,"WILLINGBORO, NJ  08046",Profit - LLC,Mr. GARRETT ARNESON,,6/17/2020,69
NJ22548,AMBULATORY CARE FACILITY,22548,"ADVANCED DIAGNOSTIC IMAGING OF NEW JERSEY, INC",ADVANCED DIAGNOSTIC IMAGING OF NEW JERSEY,34 ROUTE 17 NORTH, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 368-2005,(201) 368-1431,office@openmri17.com,12/31/2020,"ADVANCED DIAGNOSTIC IMAGING OF NEW JERSEY, INC",34 ROUTE 17 NORTH,"PARAMUS, NJ  07652",,. JONATHAN MORA,,6/17/2020,
NJ23487,AMBULATORY CARE FACILITY,23487,ADVANCED DIAGNOSTICS OF NEW JERSEY,ADVANCED DIAGNOSTICS OF NEW JERSEY,701 ROUTE 38 EAST, ,CHERRY HILL,NJ,08002,"CHERRY HILL, NJ  08002",CAMDEN,(856) 486-9000,(856) 486-9149,,10/31/2020,"ADVANCED DIAGNOSTICS OF NEW JERSEY, INC.",701 ROUTE 38 EAST,"CHERRY HILL, NJ  08002",Profit - Corporation,Dr. GEORGE RODRIGUEZ,,6/17/2020,
NJ31C0001154,AMBULATORY SURGICAL CENTER,24268,ADVANCED ENDOSCOPY AND SURGICAL CENTER,ADVANCED ENDOSCOPY & SURGICAL CENTER,"142 ROUTE 35, SUITE 101", ,EATONTOWN,NJ,07724,"EATONTOWN, NJ  07724",MONMOUTH,(732) 935-0031,(732) 935-0032,Tdelnero@amsurg.com,1/31/2021,ADVANCED ENDOSCOPY & SURGICAL CENTER LLC,"142 ROUTE 35, SUITE 101","EATONTOWN, NJ  07724",Profit - LLC,Ms. TARA DELNERO,,6/17/2020,
NJ22788,AMBULATORY CARE FACILITY,22788,"ADVANCED MAGNETIC IMAGING ASSOCIATES, P.A.","ADVANCED MAGNETIC IMAGING ASSOCIATES, PA",6410-6416 BERGENLINE AVENUE, ,WEST NEW YORK,NJ,07093,"WEST NEW YORK, NJ  07093",HUDSON,(201) 295-1099,(201) 295-1035,amiwny@optonline.net,9/30/2020,"AHSAN ZAFAR, M.D.",1712 LINVALE-HARBOURTON ROAD,"HAMILTON, NJ  08530",Profit - Corporation,Mr. SAMI CHAUDHARY,,6/17/2020,
NJ24090,AMBULATORY CARE FACILITY,24090,ADVANCED MEDICAL  IMAGING OF TOMS RIVER,ADVANCED MEDICAL IMAGING OF TOMS RIVER,1430 HOOPER AVENUE, ,TOMS RIVER,NJ,08753,"TOMS RIVER, NJ  08753",OCEAN,(732) 349-2867,(732) 349-3810,HHACKER@EIARAD.COM,8/31/2020,ROBERT WOOD JOHNSON JR. LIFESTYLE INSTITUTE INC.,98 JAMES STREET 4TH FLOOR,"EDISON, NJ  08820",,Mr. RAYMOND FREDERICKS,,6/17/2020,
NJ24982,AMBULATORY CARE FACILITY,24982,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,"842 SILVIA STREET, ENTERPRISE PARK, BLDG D", ,WEST TRENTON,NJ,08628,"WEST TRENTON, NJ  08628",MERCER,(732) 744-5822,          ,,4/30/2020,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,30 PROSPECT AVENUE,"HACKENSACK, NJ  07601",,Mr. ADAM BEDER,,6/17/2020,
