Federal Provider Number,CT Credential Number,Level of Care,FACILITY NAME,FACILITY TELEPHONE,ADDRESS,TOWN,COUNTY,STATE,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,New Georeferenced Column
,,CCNH,The Suffield House,(860) 668-6111,One Canal Road,Suffield,HARTFORD,CT,For Profit,true,true,128,128,125,0,0,430,410,,,,,125,0,0,0,1,0,3,9,27,53,32,0,35,90,0,32,9,77,0,7,0,124,1,0,0,0,0,62,0,0,6,0,26,3,0,0,0,0,0,28,0,2015,
,,CCNH,Yale Health In-Patient Care,(203) 432-0004,"55 Lock Street, P.O. Box 208237",New Haven,NEW_HAVEN,CT,Non-profit,false,false,4,4,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,POINT (-72.928332 41.31551)
,,CCNH,The Suffield House,(860) 668-6111,One Canal Road,Suffield,HARTFORD,CT,For Profit,true,true,128,128,127,0,0,450,430,,,,,127,0,0,0,0,2,3,19,24,54,25,0,38,89,0,36,11,69,0,11,0,125,2,0,0,0,0,64,0,0,5,0,35,6,0,0,0,0,0,17,0,2017,
75183,2370,CCNH,Fox Hill Center,(860) 875-0771,1253 Hartford Turnpike,Vernon,TOLLAND,CT,For Profit,true,true,128,128,109,0,0,455,420,,,,,109,0,0,0,0,3,9,21,32,30,14,0,39,70,0,17,24,46,0,22,0,101,5,2,1,0,0,71,0,0,10,0,10,9,0,0,1,0,0,8,0,2019,POINT (-72.434371 41.858421)
,,CCNH,Beechwood,(860) 442-4363,31 Vauxhall Street,New London,NEW_LONDON,CT,For Profit,true,true,60,60,57,0,0,435,395,,,,,57,0,0,0,0,1,5,3,12,32,4,0,22,35,0,9,9,32,0,7,0,48,2,5,0,2,0,33,0,0,1,0,9,6,0,0,0,0,0,8,0,2018,POINT (-72.104438 41.361035)
,,CCNH,Kimberly Hall North,(860) 688-6443,1 Emerson Drive,Windsor,HARTFORD,CT,For Profit,true,true,150,150,131,0,0,343,318,,,,,131,0,0,0,0,0,7,13,35,63,13,0,38,93,0,26,16,79,0,10,0,91,26,11,0,2,1,83,0,0,12,0,8,5,0,0,0,0,1,15,7,2014,POINT (-72.666767 41.837832)
,,RHNS,"Mattatuck Health Care Facility, Inc.",(203) 573-9924,9 Cliff Street,Waterbury,NEW_HAVEN,CT,For Profit,true,true,43,0,0,43,39,,,,175,170,165,39,0,0,0,0,6,12,12,6,3,0,0,13,26,0,2,21,7,0,9,0,34,4,1,0,0,0,37,0,0,1,0,1,0,0,0,0,0,0,0,0,2016,POINT (-73.045851 41.560756)
,,CCNH,Newington Rapid Recovery Rehab Center,(860) 667-2256,240 Church Street,Newington,HARTFORD,CT,For Profit,true,true,171,171,152,0,0,515.9,472.47,,,,,152,0,0,1,1,6,17,24,41,52,10,0,57,95,0,26,35,65,0,26,0,131,14,5,0,1,1,119,0,0,8,0,6,7,0,0,0,0,0,12,0,2017,POINT (-72.73936300000001 41.665919)
,,CCNH,Village Green of Bristol Rehabilitation and Health Center,(860) 589-2923,23 Fair Street,Bristol,HARTFORD,CT,For Profit,true,true,120,120,84,0,0,410,383,356,,,,84,0,0,0,4,4,25,19,14,14,4,0,46,38,0,17,21,23,0,11,12,73,2,6,0,1,2,64,0,0,4,0,7,1,6,0,0,0,2,0,0,2017,POINT (-72.902506 41.679856)
,,CCNH,Watertown Convalarium,(860) 274-6748,560 Woodbury Road,Watertown,LITCHFIELD,CT,For Profit,true,true,46,46,46,0,0,350,320,,,,,46,0,0,0,0,0,0,0,8,27,11,0,5,41,0,5,2,31,0,8,0,45,0,0,0,1,0,39,0,0,2,0,0,0,0,0,1,0,0,4,0,2013,POINT (-73.138173 41.60198)
